Name,Identity,Status,Gender,Alignment,Race,Height,Weight,EyeColor,HairColor,SkinColor,Publisher,Year,Appearances,FirstAppearance,AdditionalData
Carl Walker,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1974.0,26.0,1974-01-01,
Carl Washington,,Deceased,Male,Bad,,,,,Black,,Marvel,1994.0,1.0,1994-08-01,
Carl Weatherby,Public,Living,Male,Good,,,,,Blond,,Marvel,1985.0,4.0,1985-10-01,
Carl Wertz,Public,Living,Male,Bad,,,,,Blond,,Marvel,1943.0,1.0,1943-07-01,
Carl Wildmer,Public,Deceased,Male,Bad,,,,,Black,,Marvel,1943.0,1.0,1943-12-01,
Carl Woods,Public,Living,Male,Good,,,,Brown,Black,,DC,1981.0,6.0,1981-06-01,
Carl Worth,Public,Living,Male,Good,,,,Blue,Brown,,DC,2005.0,15.0,2005-10-01,
Carl Zante,Public,Living,Male,Bad,,,,Brown,Brown,,Marvel,1963.0,10.0,1963-03-01,
Carl von Brummel,Public,Deceased,Male,Bad,,,,,Bald,,Marvel,1944.0,1.0,1944-06-01,
Carla,No Dual,Living,Female,Other,,,,,,,Marvel,2005.0,4.0,2005-03-01,
Carla,Secret,Living,Female,Good,,,,,,,Marvel,2001.0,2.0,2001-08-01,Tunnel Dwellers
Carla Ballinger,Secret,Living,Female,Other,,,,,Red,,Marvel,1985.0,2.0,1985-12-01,
Carla Draper,Public,Living,Female,Bad,,,,Auburn,,,DC,1994.0,5.0,1994-11-01,
Carla Falcone,Public,Deceased,Female,Bad,,,,,Blond,,DC,1996.0,6.0,1996-12-01,
Carla Marcus,Public,Living,Female,Good,,,,Brown,Brown,,DC,2005.0,4.0,2005-05-01,
Carla Moretti,Secret,Deceased,Female,Bad,,,,,Brown,,DC,2010.0,17.0,2010-07-01,
Carla Strange,Public,Living,Female,Good,,,,,Brown,,Marvel,1963.0,1.0,1963-05-01,
Carla White,Public,Living,Female,Good,,,,Brown,Brown,,DC,1992.0,35.0,1992-10-01,
Carla Williams,,Living,Female,Other,,,,,,,Marvel,1968.0,3.0,1968-07-01,
Carleton LeHah,Public,Deceased,Male,Bad,,,,Green,White,,DC,1992.0,9.0,1992-10-01,
Carlie Colon,No Dual,Living,Female,Good,,,,Brown,Brown,,Marvel,1996.0,6.0,1996-02-01,
Carlie Cooper,No Dual,Living,Female,Good,,,,Blue,Brown,,Marvel,2008.0,97.0,2008-01-01,
Carlo Brewster,Secret,Living,Male,Good,,,,Blue,Bald,,Marvel,2004.0,,2004-01-01,
Carlo Calzone,Secret,Living,Male,Bad,,,,Black,Red,,DC,2008.0,4.0,2008-06-01,
Carlo Cervello,Public,Living,Male,Bad,,,,Green,White,,Marvel,1986.0,1.0,1986-01-01,
Carlo Sirianni,Public,Living,Male,Other,,,,Brown,Red,,DC,1988.0,19.0,1988-03-01,
Carlo Strange,Public,Living,Male,Bad,,,,Green,Brown,,Marvel,1963.0,5.0,1963-05-01,
Carlo Zota,No Dual,Living,Male,Bad,,,,,Blond,,Marvel,1967.0,22.0,1967-09-01,
Carlo di Rienzi,,Deceased,Male,Other,,,,,Black,,DC,1968.0,25.0,1968-05-01,
Carlos,Public,Living,Male,Bad,,,,Brown,Black,,DC,1997.0,10.0,1997-08-01,
Carlos Alvarez,No Dual,Living,Male,Good,,,,,Black,,Marvel,1992.0,1.0,1992-12-01,
Carlos Ayala,Secret,Deceased,Male,Good,,,,Brown,Black,,Marvel,2011.0,1.0,2011-03-01,
Carlos Cabrera,Secret,Deceased,Male,Other,,,,Brown,Black,,Marvel,1975.0,5.0,1975-03-01,
Carlos Carvalho,Public,Living,Male,Other,,,,,,,Marvel,2007.0,2.0,2007-09-01,
Carlos Cassada,,Living,Male,Other,,,,Brown,Black,,Marvel,1984.0,6.0,1984-02-01,
Carlos Cortez,Public,Living,Male,Good,,,,,Black,,Marvel,1970.0,3.0,1970-08-01,
Carlos Cruz,Secret,Deceased,Male,Good,,,,Brown,Black,,Marvel,1994.0,9.0,1994-12-01,
Carlos LaMuerto,Public,Living,Male,Other,,,,Brown,Black,,Marvel,1997.0,43.0,1997-01-01,
Carlos Lobo,Public,Deceased,Male,Bad,,,,Blue,Brown,,Marvel,1988.0,12.0,1988-10-01,
Carlos McNally,,Living,Male,Bad,,,,,Black,,Marvel,,1.0,,
Carlos deSilva,Secret,Living,Male,Good,,,,Black,Black,,Marvel,1993.0,5.0,1993-10-01,
Carlotta Rivera,Public,Living,Female,Good,,,,Brown,Brown,,DC,1989.0,8.0,1989-01-01,
Carlton Beatrice,,Living,Male,Bad,,,,,Brown,,Marvel,1989.0,2.0,1989-10-01,
Carlton Drake,Secret,Living,Male,Bad,,,,,Brown,,Marvel,1988.0,17.0,1988-03-01,
Carlton Kilgore,No Dual,Deceased,Male,Bad,,,,Black,Black,,Marvel,2011.0,2.0,2011-09-01,
Carlton LaFroyge,Secret,Living,Male,Bad,,,,Brown,Brown,,Marvel,1993.0,39.0,1993-05-01,
Carlton Sanders,Secret,Living,Male,Bad,,,,,Brown,,Marvel,1984.0,6.0,1984-02-01,
Carlton Slater,Secret,Deceased,Male,Bad,,,,,Blond,,DC,1994.0,4.0,1994-05-01,
Carlton Stricklan,,Living,Male,Bad,,,,,,,Marvel,1991.0,3.0,1991-05-01,
Carlton Velcro,Secret,Living,Male,Bad,,,,Brown,Black,,Marvel,1975.0,7.0,1975-06-01,
Carly Alvarez,Public,Living,Female,Other,,,,,Black,,Marvel,1996.0,2.0,1996-11-01,
Carmella,,Living,Female,Bad,,,,Blue,Blond,,Marvel,1991.0,2.0,1991-10-01,
Carmella Unuscione,Secret,Living,Female,Bad,,,,Brown,Brown,,Marvel,1993.0,36.0,1993-03-01,
Carmen,Public,Deceased,Female,Other,,,,,Black,,Marvel,1973.0,5.0,1973-11-01,
Carmen Escudero,,Living,Female,Other,,,,,Red,,Marvel,1976.0,2.0,1976-04-01,
Carmen Leno,Public,Living,Female,Bad,,,,Brown,Black,,DC,1997.0,27.0,1997-05-01,
Carmen Nobili,Public,Deceased,Male,Bad,,,,Brown,Bald,,Marvel,,5.0,,
Carmen Pryde,Public,Deceased,Male,Good,,,,Brown,Brown,,Marvel,1980.0,21.0,1980-01-01,
Carmenio,Public,Living,Male,Bad,,,,Brown,Black,,Marvel,1994.0,1.0,1994-02-01,
Carmilla Black,Secret,Living,Female,Good,,,,Green,Black,,Marvel,2005.0,33.0,2005-06-01,
Carmine Falcone,Public,Deceased,Male,Bad,,,,Brown,White,,DC,1987.0,24.0,1987-02-01,
Carmine Karnelli,Public,Deceased,Male,Bad,,,,Brown,Black,,Marvel,2008.0,3.0,2008-03-01,
Carnage,Public,Living,Other,Bad,Symbiote,185.0,86.0,White,Bald,,Marvel,1992.0,61.0,1992-03-01,Symbiote
Carnie Callahan,Public,Living,Male,Good,,,,,,,DC,1944.0,1.0,1944-05-01,
Carnivora,,Deceased,Female,Bad,,,,White,Purple,,DC,2001.0,3.0,2001-12-01,
Carnivore,Identity Unknown,Living,Male,Bad,,,,Red,Black,,DC,1998.0,1.0,1998-03-01,
Carny,,Deceased,Male,Bad,,,,,,,DC,1990.0,2.0,1990-09-01,
Carol,,Deceased,Female,Other,,,,Grey,Brown,,Marvel,2011.0,,2011-09-01,Roger's wife
Carol Bucklen,,Living,Female,Good,,,,Brown,Black,,DC,1995.0,54.0,1995-04-01,
Carol Campbell,Public,Living,Female,Other,,,,,Black,,Marvel,2004.0,3.0,2004-12-01,
Carol Danvers,Secret,Deceased,Female,Bad,,,,Green,Blond,,Marvel,2008.0,5.0,2008-06-01,"Retro, Skrull"
Carol Danvers,Secret,Deceased,Female,Bad,,,,Green,Blond,,Marvel,2008.0,3.0,2008-05-01,"Modern, Skrull"
Carol Danvers,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1968.0,881.0,1968-03-01,
Carol Erikson,,Deceased,Female,Other,,,,,Brown,,DC,2004.0,1.0,2004-09-01,
Carol Ferris,Public,Living,Female,Other,,,,Blue,Black,,DC,1959.0,319.0,1959-10-01,
Carol Harding,No Dual,Living,Female,Good,,,,,,,Marvel,1976.0,2.0,1976-06-01,
Carol Henderson,,Living,Female,Other,,,,,,,Marvel,1995.0,1.0,1995-06-01,
Carol Hines,Secret,Deceased,Female,Bad,,,,Blue,Auburn,,Marvel,1991.0,23.0,1991-03-01,
Carol Landers,Public,Living,Female,Good,,,,,Brown,,Marvel,1973.0,6.0,1973-05-01,
Carol Rayne,,Deceased,Female,Good,,,,Blue,Blond,,Marvel,1989.0,1.0,1989-06-01,
Carol Selby,Public,Living,Female,Good,,,,,Brown,,Marvel,1975.0,6.0,1975-06-01,
Carol Simon,,Living,Female,Other,,,,,,,DC,1989.0,19.0,1989-02-01,
Carole,Public,Living,Female,Other,,,,Brown,Brown,,Marvel,1967.0,1.0,1967-07-01,
Carolina Washington,Public,Living,Female,Bad,,,,,Black,,Marvel,2011.0,6.0,2011-12-01,
Caroline le Fay,No Dual,Living,Female,Bad,,,,Black,Grey,,Marvel,2013.0,10.0,2013-04-01,
Carolyn Llewellyn,Public,Living,Female,Other,,,,Green,,,DC,2006.0,3.0,2006-10-01,
Carolyn Parmentor,Public,Deceased,Female,Other,,,,,Brown,,Marvel,1986.0,4.0,1986-03-01,
Carolyn Schist,No Dual,Living,Female,Other,,,,Blue,Brown,,Marvel,1974.0,1.0,1974-11-01,
Carolyn Trainer,Secret,Living,Female,Bad,,,,,Pink,,Marvel,1995.0,43.0,1995-09-01,
Carom,Secret,Living,Male,Bad,,,,White,Red,,DC,1997.0,8.0,1997-04-01,
Carrie,,Living,Female,Other,,,,,Blond,,Marvel,2005.0,2.0,2005-01-01,District X
Carrie,,Living,Female,Good,,,,Blue,Black,,Marvel,2013.0,9.0,2013-04-01,Nova
Carrie,Secret,Living,Female,Good,,,,Green,Grey,,Marvel,2004.0,3.0,2004-10-01,
Carrie Alexander,Public,Living,Female,Good,,,,Brown,Brown,,Marvel,1990.0,27.0,1990-04-01,
Carrie Bradley,Public,Living,Female,Other,,,,,Red,,Marvel,1995.0,5.0,1995-11-01,
Carrie Cutter,Secret,Living,Female,Bad,,,,Green,Red,,DC,2009.0,14.0,2009-02-01,
Carrie Donahue,Public,Living,Female,Good,,,,Hazel,Brown,,DC,1990.0,4.0,1990-12-01,
Carrie Phillips,Public,Living,Female,Other,,,,Brown,Black,,DC,1988.0,4.0,1988-06-01,
Carrion Crow,Secret,Deceased,Male,Bad,,,,Red,,,Marvel,2011.0,2.0,2011-02-01,
Carrisa,,Deceased,Female,Good,,,,,Brown,,DC,2004.0,7.0,2004-04-01,
Carson Bells,Public,Living,Male,Good,,,,,Black,,Marvel,1943.0,1.0,1943-01-01,
Carson Collier Senior,Public,Living,Male,Other,,,,,Grey,,Marvel,1975.0,8.0,1975-08-01,
Carson Knowles,,Deceased,Male,Bad,,,,Brown,Blond,,Marvel,1982.0,13.0,1982-11-01,
Carson Rowntree,Secret,Living,Male,Bad,,,,Brown,Brown,,Marvel,1995.0,2.0,1995-03-01,
Carson Wyche,Public,Living,Male,Good,,,,Hazel,Brown,,Marvel,2010.0,24.0,2010-07-01,
Carstairs,Public,Living,Male,Other,,,,,Brown,,Marvel,2008.0,4.0,2008-07-01,
Carter Blackstone,Public,Living,Male,Bad,,,,,Bald,,Marvel,1945.0,1.0,1945-04-01,
Carter Blaire,No Dual,Deceased,Male,Other,,,,Blue,Black,,Marvel,1981.0,18.0,1981-03-01,
Carter Channel,Secret,Living,Male,Good,,,,Blue,Red,,DC,1993.0,8.0,1993-01-01,
Carter Dyam,Secret,Living,Male,Good,,,,,Blond,,Marvel,1972.0,12.0,1972-09-01,
Carter Ghazikhanian,Public,Living,Male,Other,,,,Blue,Brown,,Marvel,2002.0,25.0,2002-10-01,
Carter Hall,Secret,Living,Male,Good,,,,Blue,Brown,,DC,1940.0,803.0,1940-01-01,
Carter Nichols,Public,Deceased,Male,Good,,,,,Brown,,DC,,2.0,,
Carter Ryking,Secret,Deceased,Male,Other,,,,Green,Brown,,Marvel,1992.0,5.0,1992-09-01,
Carter Slade,Secret,Deceased,Male,Good,,,,Blue,Blond,,Marvel,1967.0,32.0,1967-02-01,
Carthus,Public,Living,Male,Other,,,,,Bald,,Marvel,1998.0,11.0,1998-12-01,
Cartier St. Croix,Public,Living,Male,Good,,,,Brown,Brown,,Marvel,1994.0,9.0,1994-12-01,
Carton Velcro,,Living,Male,Other,,,,,,,Marvel,1975.0,,1975-06-01,
Cartwright,,Living,Male,Other,,,,Black,Grey,,Marvel,1966.0,1.0,1966-03-01,
Carver,Secret,Living,Male,Bad,,,,,,,Marvel,1993.0,4.0,1993-04-01,
Carver,,Living,Male,Other,,,,,Brown,,Marvel,2000.0,1.0,2000-12-01,Morlock
Carver Malone,,Deceased,Male,Bad,,,,,Black,,DC,2001.0,1.0,2001-05-01,
Cary Albertson,,Living,Male,Other,,,,,Brown,,Marvel,1991.0,1.0,1991-01-01,
Cary Armstrong,,Living,Male,Other,,,,Blue,Blond,,Marvel,1995.0,6.0,1995-06-01,
Cary Grant,,Living,Male,Other,,,,Brown,Brown,,Marvel,1983.0,1.0,1983-11-01,
Cary Richards,,Living,Male,Bad,,,,,,,DC,2000.0,3.0,2000-06-01,
Cary St. Lawrence,Public,Living,Female,Good,,,,Brown,Black,,Marvel,1996.0,9.0,1996-10-01,
Carya,,Living,Female,Good,,,,Brown,Black,,DC,1989.0,1.0,1989-07-01,
Caryn Earle,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,2001.0,12.0,2001-06-01,
Caryn Wise,,Living,Female,Other,,,,,,,Marvel,1983.0,2.0,1983-04-01,
Casey Kinmont,No Dual,Living,Female,Good,,,,Black,Black,,Marvel,2010.0,4.0,2010-01-01,
Casey Krinsky,Public,Living,Female,Bad,,,,Hazel,Blond,,DC,2004.0,2.0,2004-10-01,
Caspar Wright,Public,Living,Male,Good,,,,,Grey,,Marvel,1991.0,3.0,1991-10-01,
Casper Whimpley,Secret,Living,Male,Bad,,,,,,,Marvel,1980.0,1.0,1980-01-01,
Casque,Secret,Living,Male,Bad,,,,,,,Marvel,1998.0,1.0,1998-01-01,
Cassandra,Secret,Living,Female,Bad,,,,,Black,,Marvel,1993.0,2.0,1993-04-01,Hydra
Cassandra,,Living,Female,Other,,,,,Brown,,Marvel,1979.0,2.0,1979-11-01,
Cassandra Arnold,Public,Deceased,Male,Bad,,,,Blue,Blond,,DC,1992.0,9.0,1992-01-01,
Cassandra Cain,Secret,Living,Female,Good,,,,Brown,Black,,DC,1999.0,235.0,1999-07-01,
Cassandra Cartland,,Living,Female,Bad,,,,Green,Brown,,DC,1997.0,6.0,1997-02-01,
Cassandra Craft,Public,Living,Female,Other,,,,Grey,White,,DC,1972.0,13.0,1972-02-01,
Cassandra Ferlenghetti,Public,Living,Female,Good,,,,,,,Marvel,1981.0,12.0,1981-04-01,
Cassandra Kaufman,Secret,Living,Female,Other,,,,Brown,Brown,,Marvel,2010.0,1.0,2010-02-01,
Cassandra Lang,Public,Deceased,Female,Good,,,,Blue,Blond,,Marvel,1979.0,153.0,1979-04-01,
Cassandra Michaels,,Living,Female,Other,,,,,Black,,Marvel,2011.0,1.0,2011-03-01,
Cassandra Nova Xavier,Secret,Living,Female,Bad,,,,Blue,Bald,,Marvel,2001.0,21.0,2001-07-01,
Cassandra Pike,,Living,Female,Bad,,,,,White,,Marvel,1989.0,,1989-12-01,
Cassandra Romulus,Public,Living,Female,Bad,,,,,Blond,,Marvel,1991.0,1.0,1991-04-01,
Cassandra Sandsmark,Public,Living,Female,Good,,,,Blue,Blond,,DC,1996.0,423.0,1996-01-01,
Cassandra Sharp,,Deceased,Female,Bad,,,,,,,DC,1987.0,7.0,1987-02-01,
Cassandra Webb,Public,Deceased,Female,Good,,,,Grey,Black,,Marvel,1980.0,58.0,1980-11-01,
Cassidy,Secret,Living,Male,Bad,,,,,,,DC,1993.0,4.0,1993-11-01,
Cassie Dolan,Public,Living,Female,Good,,,,,Blond,,Marvel,1997.0,2.0,1997-04-01,
Cassie Lathrop,No Dual,Living,Female,Good,,,,Blue,Blond,,Marvel,2003.0,17.0,2003-08-01,
Cassie St. Commons,Secret,Living,Female,Good,,,,,Black,,Marvel,1998.0,20.0,1998-09-01,
Cassiopeia,Secret,Living,Female,Good,,,,,,,Marvel,1994.0,9.0,1994-01-01,Pantheon
Cassius Bannister,,Living,Male,Good,,,,Brown,Black,,DC,1979.0,5.0,1979-12-01,Earth-One
Cassius Payne,Secret,Living,Male,Bad,,,,,,,DC,1994.0,28.0,1994-05-01,
Castlemere,,Living,Male,Bad,,,,White,Bald,,Marvel,2008.0,3.0,2008-10-01,
Castor,Public,Living,Male,Good,,,,,Brown,,Marvel,2008.0,1.0,2008-08-01,
Cat,,,Female,Good,,173.0,61.0,Blue,Blond,,Marvel,,,,
Cat II,,,Female,Good,,,,,,,Marvel,,,,
Cat Woman,Secret,Deceased,Female,Bad,,,,,Black,,Marvel,1945.0,1.0,1945-03-01,
Cat's Paw,Secret,Deceased,Female,Bad,,,,,,,Marvel,1941.0,,1941-04-01,
Cat-Man,,Living,Other,Other,,,,,,,Marvel,1969.0,1.0,1969-11-01,Alien
Cat-Man,Secret,Living,Male,Bad,,,,,,,Marvel,1997.0,2.0,1997-04-01,
Cat-Woman,Secret,Deceased,Female,Bad,,,,,,,Marvel,1945.0,1.0,1945-04-01,
Catalina Flores,Secret,Deceased,Female,Good,,,,Brown,Black,,DC,2002.0,41.0,2002-09-01,
Catalyn,,Living,Female,Good,,,,Brown,Brown,,DC,2003.0,1.0,2003-05-01,
Catalyst,,Living,Male,Bad,,,,,Black,,DC,1987.0,17.0,1987-07-01,
Catalyst,Secret,Living,Male,Bad,,,,,Bald,,Marvel,1996.0,4.0,1996-12-01,
Cataphrax,Secret,Living,Male,Bad,,,,Red,Bald,,Marvel,1985.0,5.0,1985-10-01,
Catapult,Secret,Living,Male,Good,,,,,,,DC,1996.0,,1996-08-01,
Catastrophe Jen,Public,Living,Female,Bad,,,,Brown,Brown,,Marvel,2003.0,4.0,2003-05-01,
Catherine Cobert,,Living,Female,Good,,,,Blue,Black,,DC,1987.0,68.0,1987-12-01,
Catherine D'Antan,,Living,Female,Bad,,,,Blue,Blond,,Marvel,1996.0,,1996-05-01,
Catherine Deshayes,,Living,Female,Other,,,,,,,Marvel,1994.0,1.0,1994-11-01,
Catherine Grant,Public,Living,Female,Good,,,,Blue,Blond,,DC,1987.0,151.0,1987-01-01,
Catherine Hamilton,Public,Living,Female,Other,,,,Green,Brown,,DC,2009.0,2.0,2009-10-01,
Catherine Klass,,Living,Female,Good,,,,,,,DC,1990.0,4.0,1990-11-01,
Catherine Moranis,Secret,Living,Female,Other,,,,,,,Marvel,1980.0,13.0,1980-10-01,
Catherine Price,Secret,Deceased,Female,Other,,,,Blue,Blond,,Marvel,2009.0,1.0,2009-08-01,
Catherine Saccharine,Secret,Living,Female,Good,,,,,,,Marvel,2001.0,3.0,2001-08-01,
Catherine Saint,,Deceased,Female,Bad,,,,,,,Marvel,1973.0,2.0,1973-10-01,
Catherine Van Derm,Public,Living,Female,Good,,,,Green,Red,,DC,2010.0,4.0,2010-09-01,
Catherine Wilder,Public,Deceased,Female,Bad,,,,Brown,Black,,Marvel,2003.0,27.0,2003-07-01,
Catherwood,No Dual,Living,Male,Other,,,,,,,Marvel,1990.0,3.0,1990-06-01,
Cathode,Secret,Living,Female,Bad,,,,,Black,,Marvel,1992.0,2.0,1992-11-01,
Catholic Girl,,Living,Female,Good,,,,,Blond,,DC,1994.0,9.0,1994-06-01,Dakotaverse
Cathy Jones,Public,Living,Female,Other,,,,,Red,,Marvel,1960.0,2.0,1960-12-01,
Cathy Webster,Secret,Living,Female,Good,,,,Blue,Blond,,Marvel,1994.0,17.0,1994-09-01,
Catman,Secret,Deceased,Male,Bad,,,,,,,Marvel,1947.0,1.0,1947-01-01,Mental Patient
Catseye,Secret,Deceased,Male,Bad,,,,Brown,Black,,DC,1991.0,5.0,1991-05-01,
Catwalk,Secret,Living,Female,Other,,,,,Brown,,DC,1996.0,6.0,1996-09-01,
Catwoman,Secret,Living,Female,Other,Human,175.0,61.0,Green,Black,,DC,1940.0,,1940-06-01,Selina Kyle
Catwoman III,Secret,Living,Female,Other,,,,Blue,Black,,DC,2010.0,5.0,2010-09-01,
Caudle,Public,Living,Male,Other,,,,Hazel,Brown,,Marvel,,3.0,,
Cauldron,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2006.0,4.0,2006-01-01,
Cavalier,Public,Living,Other,Other,,,,,Bald,,Marvel,,,,
Cavalry-Man,Secret,Living,Male,Other,,,,,,,DC,2010.0,1.0,2010-12-01,
Caveman,,Living,Male,Other,,,,,Brown,,Marvel,1985.0,1.0,1985-11-01,UCWF
Cay'an,Secret,Living,Female,Bad,,,,Red,,,DC,2006.0,,2006-12-01,
Caz Sallucci,,Living,Male,Good,,,,,Black,,DC,1994.0,12.0,1994-04-01,
Ce'Athauna Asira Davin,Public,Living,Female,Good,,,,Brown,Brown,,Marvel,1999.0,,1999-12-01,
Ceci Ryder,,Living,Female,Good,,,,,,,Marvel,1986.0,1.0,1986-01-01,
Cecil Babylon,Public,Living,Male,Bad,,,,,Black,,Marvel,1948.0,1.0,1948-07-01,
Cecil Geekywad Bumwimple,,Deceased,Male,Bad,,,,,,,DC,1994.0,2.0,1994-04-01,
Cecil Sunbeam,Public,Living,Male,Good,,,,,,,DC,1975.0,5.0,1975-05-01,
Cecil Wilson,,Living,Male,Good,,,,,Red,,DC,1956.0,104.0,1956-05-01,
Cecile O'Malley,,Living,Female,Other,,,,Blue,Red,,DC,1984.0,,1984-04-01,
Cecilia,Public,Living,Female,Good,,,,Brown,Brown,,Marvel,2010.0,6.0,2010-02-01,S.W.O.R.D.
Cecilia Cardinale,Secret,Living,Female,Other,,,,Brown,Brown,,Marvel,1988.0,16.0,1988-10-01,
Cecilia Johnson,Public,Living,Female,Other,,,,,Blond,,Marvel,1941.0,1.0,1941-12-01,
Cecilia Reyes,No Dual,Living,Female,Good,,170.0,62.0,Brown,Brown,,Marvel,1997.0,74.0,1997-06-01,
Cecily Johnson,Secret,Living,Female,Good,,,,,Brown,,Marvel,2006.0,1.0,2006-09-01,
Cedaric,Public,Living,Male,Good,,,,Brown,Brown,,Marvel,1995.0,2.0,1995-05-01,
Cedric Crichton,Public,Deceased,Male,Good,,,,,,,Marvel,2002.0,1.0,2002-03-01,
Cedric Rawlings,Public,Deceased,Male,Bad,,,,,Grey,,Marvel,1965.0,3.0,1965-09-01,
Cee,,Deceased,Male,Other,,,,,,,Marvel,2006.0,2.0,2006-08-01,
Celery,Secret,Living,Male,Other,,,,,Green,,Marvel,1993.0,2.0,1993-02-01,
Celeste Cuckoo,Secret,Living,Female,Good,,,,Blue,Blond,,Marvel,2001.0,177.0,2001-11-01,
Celestia,,Deceased,Female,Good,,,,,Grey,,DC,1997.0,2.0,1997-08-01,
Celestia Denton,,Deceased,Female,Bad,,,,,,,Marvel,1974.0,4.0,1974-11-01,
Celestial Gardener,,Deceased,Other,Other,,,,,Bald,,Marvel,2013.0,1.0,2013-06-01,
Celestial Madonna,Secret,Deceased,Female,Other,,,,Red,,,Marvel,2010.0,2.0,2010-06-01,
Celestine Babcock,,Living,Female,Good,,,,,Blond,,DC,1992.0,2.0,1992-03-01,
Celia DeWolff Weatherby,Public,Living,Female,Good,,,,Violet,Brown,,Marvel,1985.0,2.0,1985-10-01,
Celia Forrestal,Secret,Living,Female,Good,,,,Brown,Black,,DC,2002.0,28.0,2002-02-01,
Celia Jackson,No Dual,Living,Female,Good,,,,Brown,Black,,Marvel,1976.0,3.0,1976-04-01,
Celia Kazantkakis,Secret,Living,Female,Bad,,,,,Grey,,DC,2002.0,9.0,2002-12-01,
Celia Penbrook,Public,Living,Female,Good,,,,,Blond,,DC,1955.0,26.0,1955-09-01,
Celia Rawlings,,Deceased,Female,Good,,,,,,,Marvel,1965.0,4.0,1965-09-01,
Celia Ricadonna,Secret,Living,Female,Other,,,,Green,Green,,Marvel,2006.0,6.0,2006-03-01,
Celia Windward,Public,Living,Female,Good,,,,,,,DC,1988.0,29.0,1988-01-01,
Cell,Secret,Deceased,Male,Other,,,,White,Bald,,Marvel,2002.0,5.0,2002-06-01,
Cellkeeper 385,Public,Living,Male,Good,,,,Black,,,DC,1989.0,5.0,1989-05-01,
Centarius,Public,Living,Male,Other,,,,,Brown,,Marvel,1975.0,2.0,1975-10-01,
Centauria,Public,Deceased,Female,Bad,,,,,Blue,,Marvel,1981.0,1.0,1981-11-01,Microverse
Centauria,Secret,Living,Female,Other,,,,,,,Marvel,1980.0,1.0,1980-09-01,Changelings
Centaurio,Secret,Living,Male,Other,,,,,,,Marvel,1980.0,1.0,1980-09-01,
Centauron,Secret,Deceased,Male,Other,,,,,,,Marvel,1980.0,3.0,1980-07-01,
Centipor,,Deceased,Male,Bad,,,,,Bald,,Marvel,1977.0,3.0,1977-11-01,
Centrally Located Organic Computer,,Living,Other,Good,,,,,,,Marvel,2001.0,23.0,2001-01-01,
Centurious,Secret,Living,Male,Other,,,,Brown,White,,Marvel,1982.0,20.0,1982-11-01,
Century,Secret,Living,Male,Good,Alien,201.0,97.0,White,White,Grey,Marvel,1994.0,41.0,1994-07-01,Alien
Cephalus,Secret,Living,Male,Bad,,,,Black,Brown,,Marvel,1970.0,14.0,1970-08-01,
Cepul,No Dual,Living,Male,Bad,,,,White,Bald,,Marvel,,2.0,,
Ceranda,Public,Living,Female,Good,,,,Blue,Black,,Marvel,1999.0,2.0,1999-03-01,
Cerberus,Secret,Living,Other,Bad,,,,,Bald,,Marvel,1979.0,2.0,1979-08-01,Shogun Warriors
Cerberus,Secret,Living,Male,Bad,,,,Black,Black,,DC,1962.0,15.0,1962-07-01,
Cerberus,,Living,Male,Bad,,,,Yellow,Brown,,Marvel,1966.0,21.0,1966-07-01,
Cerberus,,Living,Male,Good,,,,,,,Marvel,1985.0,7.0,1985-07-01,O.Z. Chase
Cerberus II,Public,Living,Male,Bad,,,,Red,,,DC,1991.0,9.0,1991-07-01,
Cerdian,Public,Deceased,Male,Good,,,,Blue,White,,DC,2000.0,19.0,2000-05-01,
Cerebra,,,Female,Good,Mutant,,,,,,Marvel,,,,
Cerebro,,Deceased,Other,Other,,,,Red,,,Marvel,1998.0,9.0,1998-10-01,Founder
Cerebrus II,,Deceased,Male,Other,,,,,,,Marvel,1997.0,3.0,1997-10-01,
Ceres,,Living,Female,Good,,,,,,,DC,1991.0,1.0,1991-09-01,
Cerexo,Secret,Living,Male,Other,,,,,,,Marvel,1971.0,1.0,1971-03-01,
Cerez,,Living,Male,Bad,,,,Red,,,Marvel,2011.0,2.0,2011-02-01,
Cerise,,Living,Female,Bad,,,,,,,Marvel,1990.0,2.0,1990-08-01,Ravens
Cerise,Secret,Living,Female,Good,,,,Violet,Black,,Marvel,1992.0,46.0,1992-01-01,
Ceritak,,Living,Male,Good,,,,Yellow,White,,DC,1997.0,13.0,1997-04-01,
Cernunnos,Public,Deceased,Male,Bad,,,,Blue,Black,,DC,1966.0,3.0,1966-11-01,
Cernunnos,,Living,Male,Good,,,,,,,Marvel,1993.0,,1993-06-01,
Cesar Belinski,Secret,Living,Male,Good,,,,Green,Grey,,Marvel,2002.0,5.0,2002-05-01,
Cesare Sabatini,Public,Living,Male,Good,,,,,Brown,,DC,1992.0,2.0,1992-07-01,
Cesium,,Living,Other,Bad,,,,,Bald,,Marvel,1997.0,2.0,1997-11-01,Element
Cessily Kincaid,Secret,Living,Female,Good,,,,Silver,Red,,Marvel,2003.0,143.0,2003-08-01,
Cethlann,Secret,Living,Female,Other,,,,,,,Marvel,1982.0,3.0,1982-11-01,
